# BugSigDB 2026-05-20_21:51_UTC, License: Creative Commons Attribution 4.0 International, URL: https://bugsigdb.org
BSDB ID,Study,Study design,PMID,DOI,URL,Authors list,Title,Journal,Year,Keywords,Experiment,Location of subjects,Host species,Body site,UBERON ID,Condition,EFO ID,Group 0 name,Group 1 name,Group 1 definition,Group 0 sample size,Group 1 sample size,Antibiotics exclusion,Sequencing type,16S variable region,Sequencing platform,Data transformation,Statistical test,Significance threshold,MHT correction,LDA Score above,Matched on,Confounders controlled for,Pielou,Shannon,Chao1,Simpson,Inverse Simpson,Richness,Signature page name,Source,Curated date,Curator,Revision editor,Description,Abundance in Group 1,MetaPhlAn taxon names,NCBI Taxonomy IDs,State,Reviewer
bsdb:83/1/1,Study 83,time series / longitudinal observational,NA,NA,NA,NA,NA,NA,NA,NA,Experiment 1,Germany,Homo sapiens,Feces,UBERON:0001988,Obesity,MONDO:0011122,after surgery,before surgery,Roux-en-Y gastric-bypass operation were recruited according to the S3 guidelines of the German Society for Obesity,6,6,3 weeks,WMS,NA,Illumina,relative abundances,ANOVA,0.05,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Signature 1,Table 2 &Table 3,10 January 2021,Marianthi Thomatos,"Fatima,WikiWorks",gut microbiome before and after bariatric surgery in obese patients with type 2 diabetes,increased,"k__Pseudomonadati|p__Pseudomonadota|c__Gammaproteobacteria|o__Moraxellales|f__Moraxellaceae|g__Acinetobacter|s__Acinetobacter johnsonii,k__Bacillati|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Anaerostipes,k__Bacillati|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes caccae,k__Pseudomonadati|p__Spirochaetota|c__Spirochaetia|o__Brachyspirales|f__Brachyspiraceae|g__Brachyspira|s__Brachyspira hyodysenteriae,k__Bacillati|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Coprococcus,k__Bacillati|p__Bacillota|c__Clostridia|o__Lachnospirales|f__Lachnospiraceae|g__Allocoprococcus|s__Allocoprococcus comes,k__Bacillati|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Faecalibacterium,k__Bacillati|p__Bacillota|c__Clostridia|o__Eubacteriales|f__Oscillospiraceae|g__Faecalibacterium|s__Faecalibacterium prausnitzii,k__Pseudomonadati|p__Fibrobacterota|c__Fibrobacteria|o__Fibrobacterales|f__Fibrobacteraceae|g__Fibrobacter|s__Fibrobacter succinogenes,k__Fusobacteriati|p__Fusobacteriota|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium periodonticum,k__Pseudomonadati|p__Campylobacterota|c__Epsilonproteobacteria|o__Campylobacterales|f__Helicobacteraceae|g__Helicobacter,k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus acidophilus,k__Pseudomonadati|p__Spirochaetota|c__Leptospiria|o__Leptospirales|f__Leptospiraceae|g__Leptospira|s__Leptospira interrogans,k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Limosilactobacillus|s__Limosilactobacillus reuteri,k__Bacillati|p__Actinomycetota|c__Actinomycetes|o__Mycobacteriales|f__Mycobacteriaceae|g__Mycobacterium|s__Mycobacterium kansasii,k__Bacillati|p__Actinomycetota|c__Actinomycetes|o__Nakamurellales|f__Nakamurellaceae|g__Nakamurella|s__Nakamurella multipartita,k__Pseudomonadati|p__Pseudomonadota|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Ectopseudomonas|s__Ectopseudomonas mendocina,k__Bacillati|p__Bacillota|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus epidermidis,k__Pseudomonadati|p__Thermomicrobiota|c__Thermomicrobia|o__Thermomicrobiales|f__Thermomicrobiaceae|g__Thermomicrobium|s__Thermomicrobium roseum,k__Pseudomonadati|p__Spirochaetota|c__Spirochaetia|o__Spirochaetales|f__Treponemataceae|g__Treponema|s__Treponema pallidum,k__Bacillati|p__Bacillota|c__Erysipelotrichia|o__Erysipelotrichales|f__Coprobacillaceae|g__Thomasclavelia|s__Thomasclavelia spiroformis,p__Evosea|c__Eumycetozoa|o__Dictyosteliales|f__Dictyosteliaceae|g__Dictyostelium,p__Ciliophora|c__Litostomatea|o__Entodiniomorphida|f__Ophryoscolecidae|g__Epidinium",3379134|1224|1236|2887326|468|469|40214;1783272|1239|186801|3085636|186803|207244;1783272|1239|186801|3085636|186803|207244|105841;3379134|203691|203692|1643686|143786|29521|159;1783272|1239|186801|3085636|186803|33042;1783272|1239|186801|3085636|186803|3569723|410072;1783272|1239|186801|186802|216572|216851;1783272|1239|186801|186802|216572|216851|853;3379134|65842|204430|218872|204431|832|833;3384189|32066|203490|203491|203492|848|860;3379134|29547|3031852|213849|72293|209;1783272|1239|91061|186826|33958|1578|1579;3379134|203691|3118682|1643688|170|171|173;1783272|1239|91061|186826|33958|2742598|1598;1783272|201174|1760|85007|1762|1763|1768;1783272|201174|1760|1643684|85031|53460|53461;3379134|1224|1236|72274|135621|3236654|300;1783272|1239|91061|1385|90964|1279|1282;3379134|3027942|189775|189776|189777|499|500;3379134|203691|203692|136|2845253|157|160;1783272|1239|526524|526525|2810280|3025755|29348;2605435|142796|2058949|2058185|5782;5878|5988|40634|47890|40637,Complete,Fatima
bsdb:83/1/2,Study 83,time series / longitudinal observational,NA,NA,NA,NA,NA,NA,NA,NA,Experiment 1,Germany,Homo sapiens,Feces,UBERON:0001988,Obesity,MONDO:0011122,after surgery,before surgery,Roux-en-Y gastric-bypass operation were recruited according to the S3 guidelines of the German Society for Obesity,6,6,3 weeks,WMS,NA,Illumina,relative abundances,ANOVA,0.05,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,Signature 2,Table 2 &Table 3,10 January 2021,Marianthi Thomatos,"Fatima,WikiWorks",gut microbiome before and after bariatric surgery in obese patients with type 2 diabetes,decreased,"k__Pseudomonadati|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter,k__Pseudomonadati|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter,k__Pseudomonadati|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter cancerogenus,k__Pseudomonadati|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Salmonella,k__Pseudomonadati|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Salmonella|s__Salmonella enterica,k__Pseudomonadati|p__Pseudomonadota|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Shigella|s__Shigella boydii,k__Bacillati|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella,k__Bacillati|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella dispar,k__Bacillati|p__Bacillota|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella parvula,k__Fungi|p__Ascomycota|c__Sordariomycetes|o__Sordariales|f__Sordariaceae|g__Neurospora",3379134|1224|1236|91347|543|544;3379134|1224|1236|91347|543|547;3379134|1224|1236|91347|543|547|69218;3379134|1224|1236|91347|543|590;3379134|1224|1236|91347|543|590|28901;3379134|1224|1236|91347|543|620|621;1783272|1239|909932|1843489|31977|29465;1783272|1239|909932|1843489|31977|29465|39778;1783272|1239|909932|1843489|31977|29465|29466;4751|4890|147550|5139|5148|5140,Complete,Fatima
bsdb:817/1/1,Study 817,case-control,NA,NA,https://www.sciencedirect.com/science/article/abs/pii/S0044848623000224,"Christina Pavloudi, Efthimia Antonopoulou, Maria Ioanna Tsertou","Investigation of systemic granulomatosis in cultured meagre, Argyrosomus  regius, using clinical metagenomics",Aquaculture,2023,"16S, rRNA, amplicon, sequencing, Metagenomics,  Granuloma,  Meagre,  Microbiome,  Lesion",Experiment 1,Greece,Argyrosomus regius,Kidney,UBERON:0002113,Granulomatosis with Polyangiitis,MONDO:0012105,Healthy/Healthy with no visible granuloma,Kidneys with calcification,Meagre fishes with tissue calcification in their kidneys,7,10,NA,16S,34,Illumina,relative abundances,LEfSe,0.05,FALSE,2,NA,NA,NA,NA,NA,NA,NA,NA,Signature 1,"Figure 6, Table 2",9 March 2024,Barrakat,Barrakat,The differential abundance of microbial taxa as identified by LefSe in two health groups (healthy and kidney with calcification),increased,"k__Bacillati|p__Actinomycetota|c__Actinomycetes|o__Candidatus Actinomarinales|f__Candidatus Actinomarinaceae|g__Candidatus Actinomarina|s__Candidatus Actinomarina sp.,k__Pseudomonadati|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae",1783272|201174|1760|1389450|1389452|1389453|2578121;3379134|976|117743|200644|49546,Complete,Svetlana up
bsdb:817/1/2,Study 817,case-control,NA,NA,https://www.sciencedirect.com/science/article/abs/pii/S0044848623000224,"Christina Pavloudi, Efthimia Antonopoulou, Maria Ioanna Tsertou","Investigation of systemic granulomatosis in cultured meagre, Argyrosomus  regius, using clinical metagenomics",Aquaculture,2023,"16S, rRNA, amplicon, sequencing, Metagenomics,  Granuloma,  Meagre,  Microbiome,  Lesion",Experiment 1,Greece,Argyrosomus regius,Kidney,UBERON:0002113,Granulomatosis with Polyangiitis,MONDO:0012105,Healthy/Healthy with no visible granuloma,Kidneys with calcification,Meagre fishes with tissue calcification in their kidneys,7,10,NA,16S,34,Illumina,relative abundances,LEfSe,0.05,FALSE,2,NA,NA,NA,NA,NA,NA,NA,NA,Signature 2,"Table 2, Figure 6",10 March 2024,Barrakat,"Barrakat,Svetlana up",The differential abundance of microbial taxa as identified by LefSe in two health groups (healthy and kidney with calcification),decreased,"k__Bacillati|p__Bacillota|c__Bacilli|o__Bacillales|f__Anoxybacillaceae|g__Anoxybacillus,k__Bacillati|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Dermacoccaceae|g__Dermacoccus,k__Bacillati|p__Actinomycetota|c__Actinomycetes|o__Micrococcales|f__Micrococcaceae|g__Micrococcus,k__Pseudomonadati|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Paracoccus",1783272|1239|91061|1385|3120669|150247;1783272|201174|1760|85006|145357|57495;1783272|201174|1760|85006|1268|1269;3379134|1224|28211|204455|31989|265,Complete,Svetlana up
bsdb:817/2/1,Study 817,case-control,NA,NA,https://www.sciencedirect.com/science/article/abs/pii/S0044848623000224,"Christina Pavloudi, Efthimia Antonopoulou, Maria Ioanna Tsertou","Investigation of systemic granulomatosis in cultured meagre, Argyrosomus  regius, using clinical metagenomics",Aquaculture,2023,"16S, rRNA, amplicon, sequencing, Metagenomics,  Granuloma,  Meagre,  Microbiome,  Lesion",Experiment 2,Greece,Argyrosomus regius,Kidney,UBERON:0002113,Granulomatosis with Polyangiitis,EFO:0005297,Systemic Granulomatosis (SG)-affected,Sick with Kidney calcification,Meagre fishes with tissue calcifications in their kidneys,10,10,NA,16S,34,Illumina,relative abundances,LEfSe,0.05,FALSE,2,NA,NA,NA,NA,NA,NA,NA,NA,Signature 1,"Figure 6, Table 2",9 March 2024,Barrakat,Barrakat,"The differential abundance of microbial taxa as identified by LefSe in two health groups:
Systemic granulomatosis (SG)-affected and kidney with calcification.",increased,"k__Bacillati|p__Actinomycetota|c__Actinomycetes|o__Candidatus Actinomarinales|f__Candidatus Actinomarinaceae|g__Candidatus Actinomarina|s__Candidatus Actinomarina sp.,k__Pseudomonadati|p__Bacteroidota|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae",1783272|201174|1760|1389450|1389452|1389453|2578121;3379134|976|117743|200644|49546,Complete,Svetlana up
bsdb:817/2/2,Study 817,case-control,NA,NA,https://www.sciencedirect.com/science/article/abs/pii/S0044848623000224,"Christina Pavloudi, Efthimia Antonopoulou, Maria Ioanna Tsertou","Investigation of systemic granulomatosis in cultured meagre, Argyrosomus  regius, using clinical metagenomics",Aquaculture,2023,"16S, rRNA, amplicon, sequencing, Metagenomics,  Granuloma,  Meagre,  Microbiome,  Lesion",Experiment 2,Greece,Argyrosomus regius,Kidney,UBERON:0002113,Granulomatosis with Polyangiitis,EFO:0005297,Systemic Granulomatosis (SG)-affected,Sick with Kidney calcification,Meagre fishes with tissue calcifications in their kidneys,10,10,NA,16S,34,Illumina,relative abundances,LEfSe,0.05,FALSE,2,NA,NA,NA,NA,NA,NA,NA,NA,Signature 2,Table 2 Fig 6,10 March 2024,Barrakat,Barrakat,"The differential abundance of microbial taxa as identified by LefSe in two health groups:
Systemic granulomatosis (SG)-affected and kidney with calcification.",decreased,",k__Pseudomonadati|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae,k__Pseudomonadati|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Paracoccus,k__Pseudomonadati|p__Acidobacteriota|c__Blastocatellia|o__Blastocatellales|f__Pyrinomonadaceae|g__Pyrinomonas,k__Pseudomonadati|p__Bacteroidota|c__Sphingobacteriia|o__Sphingobacteriales,k__Pseudomonadati|p__Pseudomonadota|c__Alphaproteobacteria|o__Hyphomicrobiales|f__Beijerinckiaceae",;3379134|1224|28216|80840|119060;3379134|1224|28211|204455|31989|265;3379134|57723|1562566|1748771|2048906|1562565;3379134|976|117747|200666;3379134|1224|28211|356|45404,Complete,Svetlana up
bsdb:817/3/1,Study 817,case-control,NA,NA,https://www.sciencedirect.com/science/article/abs/pii/S0044848623000224,"Christina Pavloudi, Efthimia Antonopoulou, Maria Ioanna Tsertou","Investigation of systemic granulomatosis in cultured meagre, Argyrosomus  regius, using clinical metagenomics",Aquaculture,2023,"16S, rRNA, amplicon, sequencing, Metagenomics,  Granuloma,  Meagre,  Microbiome,  Lesion",Experiment 3,Greece,Argyrosomus regius,Kidney,UBERON:0002113,Granulomatosis with Polyangiitis,MONDO:0012105,Healthy/Healthy with no visible granuloma,Sick,Meagre fishes with SG-affected kidneys and tissue calcification in their kidneys,7,20,NA,16S,34,Illumina,relative abundances,LEfSe,0.05,FALSE,2,NA,NA,NA,NA,NA,NA,NA,NA,Signature 1,"Table 2, Supplementary Figure 2, Supplementary Figure 3",9 March 2024,Barrakat,"Barrakat,Svetlana up","The differential abundance of microbial taxa as identified by LefSe in two health groups
(healthy and sick)",increased,"k__Pseudomonadati|p__Pseudomonadota|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae,k__Pseudomonadati|p__Pseudomonadota|c__Betaproteobacteria|o__Nitrosomonadales|f__Gallionellaceae,k__Pseudomonadati|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales",3379134|1224|28216|80840|119060;3379134|1224|28216|32003|90627;3379134|1224|28211|204455,Complete,Svetlana up
bsdb:817/3/2,Study 817,case-control,NA,NA,https://www.sciencedirect.com/science/article/abs/pii/S0044848623000224,"Christina Pavloudi, Efthimia Antonopoulou, Maria Ioanna Tsertou","Investigation of systemic granulomatosis in cultured meagre, Argyrosomus  regius, using clinical metagenomics",Aquaculture,2023,"16S, rRNA, amplicon, sequencing, Metagenomics,  Granuloma,  Meagre,  Microbiome,  Lesion",Experiment 3,Greece,Argyrosomus regius,Kidney,UBERON:0002113,Granulomatosis with Polyangiitis,MONDO:0012105,Healthy/Healthy with no visible granuloma,Sick,Meagre fishes with SG-affected kidneys and tissue calcification in their kidneys,7,20,NA,16S,34,Illumina,relative abundances,LEfSe,0.05,FALSE,2,NA,NA,NA,NA,NA,NA,NA,NA,Signature 2,"Table 2, Supplementary Figure 2, Supplementary Figure 3",10 March 2024,Barrakat,"Barrakat,Svetlana up","The differential abundance of microbial taxa as identified by LefSe in two health groups
(healthy and sick)",decreased,"k__Bacillati|p__Bacillota|c__Bacilli|o__Bacillales,k__Bacillati|p__Bacillota|c__Bacilli|o__Bacillales|f__Bacillaceae|g__Bacillus,k__Pseudomonadati|p__Verrucomicrobiota|c__Opitutia|o__Puniceicoccales|f__Coraliomargaritaceae|g__Coraliomargarita,k__Thermotogati|p__Deinococcota|c__Deinococci|o__Thermales|f__Thermaceae|g__Meiothermus,k__Pseudomonadati|p__Pseudomonadota|c__Alphaproteobacteria|o__Rhodobacterales|f__Paracoccaceae|g__Paracoccus,k__Bacillati|p__Bacillota|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus",1783272|1239|91061|1385;1783272|1239|91061|1385|186817|1386;3379134|74201|414999|415001|3056371|442430;3384194|1297|188787|68933|188786|65551;3379134|1224|28211|204455|31989|265;1783272|1239|91061|186826|1300|1301,Complete,Svetlana up
bsdb:879/1/1,Study 879,prospective cohort,NA,10.22541/au.169511765.50376146/v1,https://www.authorea.com/users/666162/articles/667143-oral-lesion-and-microbiome-diversity-in-covid-19-hospitalized-patients,"Alessandra Lunis, Bernal Stewart, Cesar Augusto Migliorati, Ester Cerdeira Sabino, Joyce Vanessa Da Silva Fonseca, Nazareno Scaccia, Pablo Andres Munoz Torres, Paulo Henrique Braz Da Silva, Roberta Pilleggii, Rodrigo Melim Zerbinati, Silvia Figueiredo Costa, Sumatra Melo Da Costa Pereira Jales",Oral lesion and microbiome diversity in COVID-19 hospitalized patients,Authorea Inc.,2023,"Brazil, Oral lesion, covid-19, hospitalized patients, sars coronavirus",Experiment 1,Brazil,Homo sapiens,Oral cavity,UBERON:0000167,Oral ulcer,HP:0000155,Covid-19 patients without oral lesions,Covid-19 with oral lesions,COVID-19 patients with the presence of oral lesions,115,14,NA,16S,4,Ion Torrent,raw counts,DESeq2,0.05,TRUE,NA,NA,"age,sex",NA,decreased,NA,NA,NA,NA,Signature 1,Fourth paragraph in section 3.3,6 March 2024,Nekembe,"Nekembe,Aleru Divine",Significant difference found in Covid-10 patients who had oral lesions.,increased,k__Bacillati|p__Bacillota|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus,1783272|1239|91061|1385|90964|1279,Complete,Peace Sandy
bsdb:879/2/1,Study 879,prospective cohort,NA,10.22541/au.169511765.50376146/v1,https://www.authorea.com/users/666162/articles/667143-oral-lesion-and-microbiome-diversity-in-covid-19-hospitalized-patients,"Alessandra Lunis, Bernal Stewart, Cesar Augusto Migliorati, Ester Cerdeira Sabino, Joyce Vanessa Da Silva Fonseca, Nazareno Scaccia, Pablo Andres Munoz Torres, Paulo Henrique Braz Da Silva, Roberta Pilleggii, Rodrigo Melim Zerbinati, Silvia Figueiredo Costa, Sumatra Melo Da Costa Pereira Jales",Oral lesion and microbiome diversity in COVID-19 hospitalized patients,Authorea Inc.,2023,"Brazil, Oral lesion, covid-19, hospitalized patients, sars coronavirus",Experiment 2,Brazil,Homo sapiens,Oral cavity,UBERON:0000167,Illness severity status,EFO:0007863,Non severe COVID patients,Severe COVID patients,COVID-19 patients with severe symptoms,NA,NA,NA,16S,4,Ion Torrent,raw counts,DESeq2,0.05,TRUE,NA,NA,"age,sex",NA,decreased,NA,NA,NA,NA,Signature 1,Fourth paragraph in section 3.3,7 March 2024,Nekembe,"Nekembe,Aleru Divine",Significant differences found in Covid-10 patients who had severe symptoms.,increased,k__Pseudomonadati|p__Bacteroidota|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella,3379134|976|200643|171549|171552|838,Complete,Peace Sandy
